m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
205.458039	35.007901	1.565156	2.982376	3.131471	468.230677	174.169421	3.026234	0.290838	0.407642	430.499501
260.934961	116.181671	2.554929	0.786640	0.655853	193.626850	84.329023	1.788449	2.898545	2.442163	432.612899
201.672450	96.382428	2.866159	3.103009	2.430285	174.726461	122.868046	2.328249	0.257887	1.677112	530.540911
171.657152	76.385278	0.078921	2.826312	2.525312	162.482954	90.371057	0.552107	1.359023	0.973298	146.914450
155.318047	68.787435	2.553919	2.728234	2.872515	111.313818	55.885682	2.199383	0.756674	2.975600	273.081511
175.752168	61.975720	1.027893	2.533331	2.538149	126.737164	39.948321	2.625898	0.861041	0.729047	245.028116
219.303041	160.803352	2.585826	2.031076	3.080610	127.473150	71.474809	1.759241	1.748974	0.626144	386.337152
199.876637	89.639777	1.659195	2.754534	2.331580	151.459881	35.613105	2.288593	0.078083	0.943569	315.172892
187.764986	165.452433	1.896486	2.953162	1.320714	107.392265	41.233793	1.106877	0.763463	0.823632	396.337118
243.479695	149.891007	1.888255	2.496996	2.818672	157.533645	51.126468	2.779658	2.640190	3.113050	572.813275
319.268296	178.357820	0.185669	2.099735	2.913619	326.426136	87.981644	2.328427	0.117210	0.609738	364.680900
125.572210	83.333678	0.317765	0.512598	1.150861	371.094536	331.020998	2.115014	3.104839	0.694116	233.248210
229.266946	113.155114	2.235338	3.124606	2.607188	126.919511	47.038851	0.269342	2.400872	0.851800	549.121026
245.330106	71.481380	2.309805	2.318026	2.906792	180.841741	66.732430	0.084726	1.193672	2.835399	250.690566
281.678339	76.172500	1.692054	0.325138	0.319413	209.505837	81.603046	1.774570	2.969453	2.546283	139.504760
173.203812	56.523544	3.037150	1.794789	2.604312	141.107050	75.610043	2.325088	0.977106	2.516709	329.189888
156.445413	78.170464	2.259070	2.603015	2.051065	110.027184	37.243476	0.362073	2.396305	1.461963	266.639618
168.400962	43.823616	2.455819	0.943315	1.364688	152.630541	76.872025	1.857711	2.969009	1.147774	176.630974
248.842202	81.288012	1.319425	1.809747	2.338812	118.736803	31.670319	1.780526	3.093960	1.085417	171.700645
208.957059	126.514661	3.107366	2.265488	1.250054	256.787535	57.306431	1.730238	1.797686	1.888548	262.148653
187.737696	137.757325	2.375963	2.654374	2.255008	165.310326	25.700003	2.529492	1.499474	0.397216	548.048671
226.177916	137.751178	0.672483	2.417793	3.123381	215.040835	97.745943	1.897986	0.189844	1.495974	285.148369
148.586129	75.541904	2.304042	1.784598	1.067526	178.039698	70.954540	1.935384	1.085638	2.174122	328.330495
331.444897	216.035478	0.748294	1.538731	3.114869	693.510554	112.927868	2.518531	0.365787	1.225543	640.188668
165.569018	116.659892	2.231530	2.828226	2.581782	190.720841	72.700192	0.914948	1.431991	0.148372	240.439144
516.875455	101.959802	2.883146	0.680885	0.799676	254.269204	204.953836	1.300986	2.885308	3.006590	371.836579
147.619759	73.654025	1.054340	2.157981	2.187876	166.923524	57.748870	2.901541	2.015438	1.827433	452.268162
208.371843	113.877937	0.138950	2.383535	2.292536	156.826329	58.656826	1.414135	2.010331	2.490101	305.536429
150.472588	80.007589	1.423529	3.129447	2.613977	205.042303	97.200596	2.456121	1.762158	2.031026	271.711013
160.924172	58.078841	2.433909	3.084216	2.512550	118.025653	59.352931	2.095615	2.275646	0.191140	553.620993
245.692814	193.378368	1.066649	2.898306	2.330181	159.886317	55.781632	2.758963	1.051753	2.182589	397.393656
371.222340	141.711550	2.362520	0.035981	0.390021	85.056375	44.726147	2.631997	2.920773	2.788735	329.287300
223.212169	100.714690	0.761010	2.943993	2.734769	277.155597	252.647013	2.291592	0.460996	0.984682	209.557853
395.023274	115.977388	2.514015	2.478724	2.436140	160.709046	73.746571	0.675905	0.372911	1.430056	490.259053
165.431264	20.689082	2.549832	1.084364	1.710235	152.486270	75.750129	2.458551	3.127746	1.089855	357.813080
166.871809	70.882767	2.425216	2.032972	2.443452	289.636609	47.063383	2.706306	0.141506	0.444863	371.900599
176.778239	81.756566	2.308610	2.124574	2.859580	553.018839	494.072320	0.438215	2.840155	0.283938	192.521145
161.109318	85.770773	1.409842	2.881971	2.984879	153.066501	60.944226	1.809454	0.662552	1.389363	685.257903
192.197779	115.658858	1.432134	3.013507	2.286176	385.262626	265.883880	2.634092	0.726051	0.578544	531.769351
280.999791	210.231694	2.942870	2.295911	2.895517	225.260281	133.953990	2.647220	1.964355	0.721869	767.555444
147.416958	65.597539	0.433578	2.883352	2.903716	138.311526	31.138485	2.772910	0.983900	2.317138	246.796026
170.595444	30.069803	0.918483	0.085885	0.794541	181.757682	78.799922	2.710888	3.117680	0.851885	205.413764
160.833802	79.618941	2.199845	2.979408	2.766924	212.255770	96.303726	1.696548	0.972447	2.705109	610.004888
164.253653	72.554491	2.999213	2.590783	1.909512	240.315054	163.585282	0.164270	1.276863	0.883573	188.697951
168.511338	54.237561	3.005468	2.356146	2.959914	112.564529	36.128681	1.412063	0.330734	2.252015	360.910978
149.641037	76.443496	2.832468	2.263803	1.125288	147.875950	68.107888	1.010453	1.461706	0.466491	265.426383
594.924769	319.894244	2.489711	0.182584	1.935824	199.538898	172.770651	2.951307	1.910026	1.937285	418.978326
468.710625	212.562540	2.112598	2.952652	1.858439	70.547911	16.392830	2.997412	2.955655	1.874009	634.159591
232.298102	179.431140	3.126575	2.320607	0.697354	632.007996	99.251861	1.034097	0.350656	0.904502	111.786209
197.416666	60.503848	1.910869	2.157393	3.046650	302.612455	179.461480	2.552632	2.446356	0.857455	553.316482
235.728914	175.385074	0.787055	3.131714	2.200703	510.374704	193.039288	3.124464	0.260538	1.500790	964.582705
177.522784	38.641567	2.079817	2.936727	2.472744	198.316894	18.789877	2.006497	2.098307	0.226332	429.592340
172.551936	78.380106	1.006164	0.029678	0.887644	246.690780	100.962347	2.653348	1.005958	0.921187	40.670597
161.612192	80.200729	1.525490	2.903133	2.635201	525.823172	266.386525	2.441343	1.142414	0.405502	222.644636
173.182130	96.596585	2.440421	2.076507	1.470369	180.270313	74.603918	1.284727	1.824789	0.942698	264.075599
324.202268	266.014478	0.422446	2.061202	2.581897	223.833919	57.698989	2.364454	1.028099	1.204715	601.339317
266.469830	125.571084	2.302648	0.097965	0.954241	181.327406	90.776502	3.079123	2.858881	0.965433	211.501865
702.475466	649.260684	0.375276	1.661547	1.817108	192.632872	65.447484	2.486205	1.799363	1.431196	254.299587
397.953489	320.030611	2.340855	2.519061	1.105616	154.626425	80.595122	1.921715	0.637991	0.640159	239.870355
161.001064	58.305984	2.760577	0.387417	1.793430	61.841011	24.968664	2.080407	1.422099	3.057769	230.570334
125.291073	48.214834	0.759129	0.527300	1.240184	236.877607	71.545593	2.457590	0.847070	0.811267	265.227963
287.147925	211.895971	1.349267	2.543461	1.228986	207.114890	39.996278	3.001769	3.135023	2.934274	885.445255
123.876103	30.019288	1.768377	0.213871	0.137078	151.421396	46.718168	2.703134	2.656452	1.965334	74.958231
259.030630	209.957434	2.791454	2.744585	1.205644	162.280248	41.449514	0.977733	1.503383	2.367292	104.358457
494.554810	345.445609	2.614780	2.796781	2.341879	152.366207	42.207474	0.866510	2.949437	1.965402	806.512135
295.469126	232.537358	1.858151	1.957385	3.090895	202.760049	27.986537	1.033718	0.811244	1.481036	215.097164
157.023264	71.800684	2.436018	2.791530	2.226758	151.782572	75.498600	1.297476	0.321946	1.158038	188.153437
156.441672	31.579673	2.118982	2.315173	2.991160	117.572024	54.920989	1.849416	1.244723	0.524608	239.317780
226.488628	197.974462	1.202591	2.865579	2.341403	262.746740	143.477727	2.159751	1.304424	2.184434	272.209675
162.804029	74.778982	1.140278	2.605399	2.965509	233.373021	156.395088	2.583579	1.954441	0.755369	271.686068
123.531180	78.544589	0.503819	0.997539	1.766708	169.501398	33.780748	0.048034	2.780606	2.473405	247.207523
143.405772	101.851906	2.987810	2.522738	1.813271	149.460095	45.016487	1.759174	1.422503	1.001360	742.545668
209.179591	123.166224	2.548373	2.686781	3.056818	252.755131	43.713019	1.534635	2.512025	2.559835	534.371901
196.814803	88.714469	2.131888	1.334828	2.419844	126.216823	14.839743	2.274634	2.880606	2.630573	255.113275
213.218055	121.463938	2.786327	2.310781	1.438469	192.794267	83.197377	0.943102	1.717751	1.043523	548.107598
260.172746	212.161036	2.261431	3.138424	3.125448	168.410605	132.794118	2.227647	2.865052	2.407231	704.993808
464.220964	332.441151	1.528003	3.046903	2.041106	235.910960	136.084411	0.290724	1.391389	0.398647	847.367813
221.212716	56.901537	2.698889	2.298112	1.558039	118.267160	28.569461	1.644403	3.120081	0.067495	505.575589
117.638323	73.645735	2.377372	2.681727	2.308874	141.054144	56.256093	1.604506	0.954082	0.027339	154.488863
143.873008	79.239865	2.040725	3.104959	2.075454	110.787562	15.966761	2.997628	0.977613	2.473457	495.408641
268.114119	127.936121	2.051097	1.658595	1.370512	127.952627	51.477978	2.462126	0.216017	1.985755	53.310242
178.215190	167.665561	3.006906	1.577712	2.380775	161.606362	76.565436	2.677448	1.750639	2.535988	476.955728
158.917945	75.118589	1.535335	3.094947	2.596876	73.846402	27.601273	2.384123	1.470327	3.021332	395.001364
181.858037	53.937737	0.166053	2.281483	0.838793	183.230263	46.717928	3.107401	1.626826	3.008467	297.789947
173.702195	79.348226	3.031203	2.954691	2.500607	112.161115	31.863208	0.955451	0.227891	0.341680	695.266058
406.311946	234.404923	2.614477	2.633626	2.824096	185.889838	109.575142	0.383099	1.231932	3.061683	562.300739
202.108194	109.867694	2.918269	1.929410	2.534714	109.905195	49.845317	0.936987	2.334302	0.843203	157.409403
159.196929	32.117855	2.851042	2.596286	3.017061	125.252238	80.921700	2.533874	1.236034	1.323188	219.694809
134.364955	118.653658	2.846327	2.514458	3.027940	218.453798	107.521639	1.522313	2.890301	3.102347	496.654634
276.321153	248.624632	3.136987	2.006706	2.942526	369.103792	295.904366	2.019393	1.152445	2.826400	654.525329
163.362965	108.829927	1.732052	1.952901	2.700936	104.328954	56.901393	2.611462	1.449175	2.418878	246.999284
482.766913	294.556343	3.141247	1.683863	1.951232	160.209679	69.821879	2.747612	1.986682	1.377557	455.425428
177.963560	70.577401	2.165593	2.769933	2.997146	209.941209	102.298485	2.830627	1.563618	1.232981	665.600746
185.201321	62.003739	2.761453	2.606467	1.886702	119.941674	96.479277	2.103267	1.502075	1.114078	397.067931
115.699444	47.885971	2.686485	3.123147	2.835525	148.476440	140.031625	0.988834	0.000534	2.253698	346.352060
179.672124	65.317122	2.311609	3.049185	2.909554	191.826890	68.337172	2.163119	2.625633	0.788904	529.701483
161.351341	58.566341	2.553465	2.474531	2.029139	110.708118	43.837494	1.779825	0.938994	2.967637	268.355535
230.691368	149.530985	2.032020	2.453549	2.472345	203.365678	88.940591	1.329571	1.465077	1.953906	484.471364
157.783992	129.678016	3.011450	2.963130	2.317408	120.895088	67.124880	0.879680	0.829759	0.289300	559.090177
522.351506	490.285153	1.146618	1.617390	1.249278	263.122658	205.933879	0.970610	2.203030	2.896089	306.802787
184.746869	73.064509	2.853410	0.860229	0.822961	198.135525	96.040761	2.740428	2.386884	1.681125	320.588503
186.244183	137.546715	2.970033	2.636512	2.402544	146.057105	16.343698	2.275745	2.384004	1.836927	550.759750
252.422049	108.697662	2.395541	0.190691	0.807575	129.013444	58.096005	2.514815	2.118815	2.899672	183.030273
211.147870	79.636735	1.197561	3.060266	2.418797	165.872646	72.942377	0.098497	0.334236	0.471671	395.448761
177.074604	155.783897	2.440161	3.063578	2.280878	111.289906	45.576668	2.116167	3.013130	1.479400	475.785904
205.300926	117.385939	0.742871	2.058899	3.073020	167.209618	59.005179	2.735727	0.724918	2.633891	450.110656
