m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
145.439829	77.323455	2.534277	1.985487	2.853312	204.618498	61.287708	1.719582	1.507411	0.415809	352.765476
358.357903	266.547994	0.640010	2.859779	2.394036	134.727042	40.291401	2.460677	0.943409	1.367007	125.550873
178.815868	83.717540	2.031716	2.904873	2.626101	102.833362	70.108450	2.643873	1.469494	2.959065	519.727651
422.268942	305.751025	0.846946	2.683520	3.027950	255.456710	73.729295	2.950183	2.396019	0.043316	322.624749
215.604572	68.589091	2.501018	2.240627	3.009014	210.225239	100.753913	0.269553	1.203735	2.736093	390.575007
187.170059	17.770859	0.656842	2.102318	1.701865	185.554560	137.986529	2.686929	2.554464	0.633591	86.137339
1002.184748	911.980779	0.653412	2.574958	3.134689	577.922445	214.501254	0.601740	2.304578	3.007508	953.299596
198.791175	144.793852	2.450672	2.369471	3.044112	350.035418	93.527761	0.301838	2.081263	0.988873	257.298334
150.966943	61.200905	2.572139	2.820717	2.044451	198.597854	68.205021	2.770959	1.204080	1.524440	332.073107
109.054884	24.976588	2.883782	2.809734	2.410207	151.089440	66.237163	2.010120	1.075553	1.585217	281.815503
147.813574	60.745139	3.005771	3.018787	2.466342	116.198419	67.523935	1.207300	1.508026	0.710097	694.464121
154.174514	76.577159	1.362732	2.686907	2.959144	262.735174	115.593144	2.509935	1.857838	0.116577	271.701010
166.107799	71.768583	2.869169	2.682191	2.728514	194.127431	56.156816	0.228181	1.140456	3.107789	163.629970
993.271502	934.854024	1.921760	2.477558	2.045284	185.922960	64.304303	2.623294	0.767836	2.213076	243.980466
313.391294	142.900561	1.284710	1.269833	2.406532	181.244121	56.421776	2.877925	2.403467	2.744233	294.437571
185.288376	82.725709	1.070235	2.542021	2.625117	139.962913	33.221520	3.007755	1.594597	0.003573	485.424189
144.046977	135.154476	2.254671	2.602383	2.814319	105.217388	39.960046	0.579639	1.146933	0.121554	123.221674
178.148612	78.244667	0.735673	2.147692	2.357398	252.108716	74.273601	2.865542	0.111567	0.519036	177.354629
295.628171	39.427109	2.300063	1.997318	2.555326	244.475406	126.576994	0.899275	3.030304	0.422113	520.391287
169.588068	76.425121	2.361053	1.066796	1.282926	187.791592	95.760370	1.470393	2.780706	0.771225	41.703847
163.053278	86.587164	1.218390	0.748132	1.094943	144.343901	63.444639	2.352130	2.654421	2.536082	228.402481
190.072483	74.438181	2.256123	2.610675	2.176629	73.787094	44.047630	0.988348	2.281697	2.734471	337.065820
172.349869	95.248745	2.427062	2.108748	2.417774	71.961356	32.736069	0.901457	2.751336	2.703035	110.536161
707.082327	657.050474	1.967712	2.144377	2.243161	177.757587	85.922782	0.648932	1.375255	2.672694	172.415834
173.711804	99.921815	2.055205	2.481561	1.897610	398.598588	213.359879	1.665529	1.569461	1.325863	228.765404
257.139612	203.755623	2.604271	2.721022	2.112019	556.548567	395.738376	0.391691	1.055200	0.690901	170.289352
173.846292	146.396691	2.923839	2.879210	2.789517	188.909232	138.110160	2.610901	0.936140	0.009459	364.323379
568.518861	282.150886	0.226464	2.083110	2.533194	359.730553	76.452001	1.631634	2.124123	3.052632	261.666662
180.702750	41.680704	2.259736	2.858004	1.869767	58.224111	24.446076	0.669047	0.684758	1.226428	180.629839
361.237272	268.308045	2.232079	3.015320	2.831219	179.854825	60.239567	1.185000	0.274767	0.667489	201.820922
231.073650	173.502460	2.341237	3.039120	2.738647	371.997446	330.595344	2.079758	0.058476	0.921424	599.766571
1093.062114	977.616136	2.805751	2.526510	1.781410	101.870960	28.038063	1.100152	1.843196	1.451997	502.685181
135.943828	71.106016	1.773407	1.101409	0.065252	175.616806	73.124391	2.863390	2.210526	1.930913	339.953799
236.148612	118.469433	0.998030	2.375196	1.290633	219.388253	71.867241	2.623568	1.344095	0.093892	250.191659
134.635143	63.927055	3.053359	1.693502	1.437345	261.201713	36.309198	2.543536	2.183388	1.763084	356.571736
753.994519	679.851984	2.990355	2.344352	2.302692	198.264517	119.019451	0.819003	0.462419	1.880424	112.989499
400.580738	161.531943	2.193558	1.487593	2.603646	164.306978	95.085643	1.601422	1.219835	0.393791	34.069201
183.434198	82.254953	2.375590	2.835162	2.851120	166.474111	81.632950	1.638266	1.826475	0.463626	483.985822
166.567263	76.573891	2.270288	1.930327	2.258118	168.747422	75.302444	0.649170	1.347548	1.692224	15.578066
239.599523	220.377205	2.347500	2.677576	1.822289	125.497025	46.917154	1.074230	2.097685	2.787940	321.575870
377.521732	242.279304	2.106309	2.371862	2.302562	169.374741	64.072244	1.518243	2.828283	1.168263	211.825545
144.076055	58.190914	2.668059	2.803127	1.662887	203.437450	72.417252	0.452934	1.525907	2.581839	159.667788
154.822946	73.601620	1.764344	3.047562	2.483398	235.261112	157.953209	0.081698	2.281713	2.370135	355.721118
169.583882	82.345248	1.129851	2.370642	2.524913	170.771972	79.198048	1.877249	0.418524	1.965912	217.466468
329.584520	246.411451	2.832197	2.936660	2.953350	152.622026	56.089929	0.526730	1.477544	0.457970	283.500519
280.299841	253.480835	2.786460	2.258225	1.070802	249.342226	157.269761	2.947937	1.959279	1.626567	311.987239
200.954404	70.590112	2.651594	2.988867	2.589289	126.522442	69.356541	0.377304	0.950072	2.909166	296.113368
154.943167	86.647897	1.525086	2.978689	2.955402	142.784344	42.749185	1.995346	0.803035	0.478903	165.703634
187.718425	73.244509	2.382678	1.451469	1.118216	124.112452	50.443175	2.314524	1.875090	2.380426	368.761872
311.028145	206.025982	1.234106	1.192258	0.718949	148.844332	54.404797	3.004022	2.789844	2.832464	520.998918
188.929656	50.124363	1.782895	3.099792	2.161511	134.465633	92.488230	2.393085	0.455476	0.882312	520.672154
164.238292	88.721893	2.140742	2.565066	3.016991	176.990844	61.432400	0.805857	0.426068	0.744182	39.344826
156.763564	74.092621	2.193851	0.193971	1.006450	333.802133	115.642343	2.679532	2.081564	2.914915	221.369475
702.857016	609.068667	1.748705	3.123592	1.145546	267.857787	54.312953	1.759523	0.953446	0.120005	249.483737
97.119399	69.847513	1.239941	1.618482	1.974266	116.342172	104.092217	1.952224	2.496713	1.600422	245.842693
190.701744	127.002643	1.030458	3.000833	2.285980	180.757142	88.700033	1.488730	0.680736	1.711668	553.703260
254.042869	164.963482	1.888092	2.986992	2.712538	141.903438	77.788355	2.330285	0.693340	1.128393	1282.179486
329.018751	303.224711	2.547871	2.722365	2.859876	686.778936	607.774992	2.407740	0.960178	1.160877	505.676191
124.803791	48.051540	2.854117	1.202089	1.611556	124.474699	83.958785	3.076499	1.476349	2.309374	154.420698
163.648205	85.343353	2.157821	2.950061	2.764331	155.672028	67.915748	0.161862	0.268737	1.583135	107.657343
388.428176	280.606323	1.830265	2.232690	3.060637	160.635394	85.640350	1.861850	1.186291	1.461282	350.279044
190.585139	104.811975	1.909435	0.762943	0.223209	194.158757	98.099840	2.453026	1.822185	2.750142	96.285015
335.344709	297.044435	0.376351	1.209070	1.859669	145.887029	66.142002	2.411696	2.998278	0.919405	143.154374
179.799012	73.765642	1.343345	2.613102	2.704674	344.191064	323.703886	2.119743	0.664322	0.147880	42.568220
304.004639	219.449522	2.598737	2.165212	1.591884	166.821551	25.046783	2.185437	0.214238	1.179148	335.915455
232.375666	87.243056	0.387612	2.568350	1.857177	150.967404	77.391208	0.308600	1.610868	0.090794	374.469000
169.289896	111.603034	2.823166	1.936982	2.787642	288.127837	98.334301	1.543917	1.318236	2.818936	296.334318
170.917250	128.539974	0.364237	2.837992	3.034981	73.084179	25.619594	2.805045	1.868953	0.115814	365.272541
200.720862	100.462967	3.046993	2.850026	0.767784	190.894369	164.007753	0.751387	0.973710	0.445526	479.759048
191.119128	79.785159	3.033830	2.737512	3.027858	157.678154	45.613545	0.846743	0.619282	0.480492	374.548577
158.343868	76.922250	1.683599	2.472975	2.206395	164.411139	55.768750	2.392946	1.090914	0.668147	194.796857
175.828116	82.455733	0.198842	2.015554	1.967815	269.963570	40.236197	3.083179	0.378375	0.538249	43.121161
182.961622	67.547747	2.111488	1.828932	1.677762	201.190122	30.816392	2.871617	2.527811	2.421154	260.046552
203.083614	80.326855	2.170081	1.365655	1.692627	337.231423	266.116389	0.203806	2.132843	1.467577	134.803991
173.789394	80.202235	0.176157	1.425445	1.715871	161.230418	73.764464	1.292265	2.332293	1.856382	32.556867
169.179715	80.217891	3.111231	1.498013	2.399630	148.860181	123.503007	2.313500	1.251379	2.490467	382.753607
257.865947	135.821382	1.723675	1.364879	1.526032	154.033023	63.107356	1.786611	3.018956	1.419239	126.179169
134.656090	37.655627	2.442344	0.547519	0.199608	225.007320	24.275413	3.127960	1.207352	0.515095	303.170585
173.979953	84.970719	2.156673	2.230095	1.985752	75.762378	33.623071	1.551944	2.633765	2.877109	150.846331
173.798371	123.285682	1.967845	3.129694	2.159686	198.796991	144.324721	2.608901	0.002550	0.960204	327.060896
284.198181	218.843150	1.354117	1.798561	2.906966	171.736888	38.939928	1.987696	1.228774	0.338560	358.326732
155.425672	30.854514	1.635980	2.150561	1.462700	177.721614	88.094106	2.878959	0.829988	0.499383	191.317401
391.468254	325.655258	3.088056	1.134548	2.193136	144.242686	54.754503	2.833269	2.303364	0.588603	188.311161
134.382724	73.930193	2.896813	0.616142	1.582396	163.093728	53.296172	2.652571	1.437450	2.329920	375.520917
208.859232	117.606268	1.963590	2.348185	2.006763	99.863424	26.191042	1.477169	0.634828	0.214417	212.950092
266.109602	201.338907	2.923546	2.587963	1.751161	594.738489	334.869495	1.283196	1.643201	0.049537	316.114283
519.531560	369.614330	2.683964	1.697983	0.604473	239.668039	149.769995	2.307356	0.284386	1.635902	267.783636
124.154787	62.405272	2.466054	2.152743	2.929817	159.057030	83.019709	1.947581	2.067003	2.226117	457.571018
123.044914	79.353740	1.699755	2.952826	1.492253	187.922575	59.725594	2.142252	0.389961	0.804879	134.516883
129.177990	84.016272	1.986787	2.371299	2.320851	188.392491	33.898918	1.334151	3.133260	2.426442	293.094348
144.188812	114.625151	3.130927	2.585839	2.341227	77.285643	45.030756	2.516602	1.117414	1.748276	350.202389
146.374356	96.245394	0.104133	1.499040	2.962468	367.880124	155.833281	2.666445	2.917810	1.386344	293.072018
453.047973	324.916379	0.427126	2.580517	3.012893	394.113297	73.744325	0.185865	2.526389	1.991394	238.229548
214.632244	187.196251	1.572586	2.147382	2.355039	215.193855	142.183605	1.411341	1.718266	1.637842	155.245567
112.939148	49.137194	2.416362	2.846397	1.397635	115.090073	30.146302	2.752037	0.386322	0.715023	266.972876
352.208350	223.723519	0.009975	2.757049	1.948313	160.241023	30.088148	2.403590	1.855302	1.029700	467.401279
161.015558	62.340265	1.802791	3.121512	2.421051	81.625142	54.582299	1.821502	1.811949	0.025601	483.104504
455.279124	350.456756	2.254649	3.134971	3.134902	634.076934	56.043802	2.860445	1.153059	1.335594	812.363696
194.929344	56.684885	1.477587	2.467589	1.087376	231.347614	33.333970	3.006208	1.314227	0.272697	324.696883
179.501045	77.612824	2.818417	2.797710	2.786484	127.990984	120.546253	2.405352	1.062122	3.111116	816.563931
158.927900	114.077398	2.420900	2.352310	2.478506	166.832698	17.364653	2.756942	0.503127	0.724426	378.410278
430.125476	361.883861	2.565396	3.077729	1.764070	133.531607	76.591750	0.472619	1.733957	0.623904	440.297106
291.061870	153.793926	2.864456	3.011161	2.077736	134.999159	92.276665	0.521631	0.420815	0.485685	475.399390
427.747178	357.881906	0.166841	2.604676	2.774938	122.309235	27.184693	2.433759	0.433683	1.866457	341.569403
148.370197	45.315965	2.885121	2.777830	1.221055	59.746152	9.709472	2.060799	0.019339	0.052058	276.478148
242.500213	141.455203	2.997207	2.824072	0.966620	242.722556	164.237822	0.411751	0.175759	0.283683	800.035587
167.368875	56.643824	1.471358	2.986320	2.026957	232.146666	81.011583	3.112012	0.168615	0.700214	303.217622
158.313058	41.623842	2.875816	1.176571	2.133287	177.452000	121.439924	2.573335	3.025136	2.949541	380.997931
171.930414	21.319967	2.970722	1.644507	1.686757	451.541517	335.283314	1.401369	0.341843	3.097373	192.716832
112.486157	68.585819	0.787623	1.600101	0.225184	86.030784	30.548068	2.253687	1.993067	0.637074	296.289144
134.648311	64.686439	3.118705	1.527096	0.240299	120.903666	52.183375	2.303684	2.399587	0.484760	158.684976
178.601915	35.543698	3.014567	2.505234	2.579520	159.431806	78.213125	0.020386	1.156250	1.470723	396.440724
223.896339	50.954601	2.478587	2.499893	1.907171	182.839290	79.675712	1.709046	2.175504	3.024953	563.572483
189.627263	138.740936	2.168564	3.084279	1.975021	120.043775	51.550547	2.617404	0.227246	1.177502	463.906415
126.250130	54.300327	1.444342	1.742846	2.117106	120.824780	89.078624	0.021345	1.856999	2.473183	115.059748
608.950019	515.575776	0.018012	2.772692	1.791362	513.760273	74.691339	1.064573	0.323134	0.496146	569.989701
178.326932	17.235226	0.908574	2.416300	2.129812	144.904846	64.005477	2.306909	2.485194	2.046109	223.167320
139.826915	50.170523	0.902194	1.406543	0.260906	296.691604	85.435413	2.146222	2.267648	2.826147	23.034815
186.706494	48.350544	2.717434	0.692332	0.256041	152.345970	72.041406	1.267723	2.100274	2.044016	68.003481
191.279292	145.408055	1.467496	2.581463	2.144361	178.353165	24.928458	1.047338	1.857186	2.984042	206.876646
282.226873	200.330896	0.758666	2.577239	2.881174	204.785867	84.368330	0.117973	1.596182	1.541449	334.909427
219.494694	131.238158	1.835980	2.815911	2.954188	387.493666	279.796957	0.408259	0.469920	1.703638	263.134112
157.174267	82.363926	1.987584	1.850842	0.946711	134.170493	54.891339	2.599907	3.131535	1.291917	337.041089
508.647098	475.297052	1.681034	2.841639	3.119174	133.209131	44.298825	2.754710	2.221590	1.763563	572.381979
170.158774	115.752973	1.841890	3.013998	2.376322	144.014196	75.485784	2.836887	1.169520	0.352877	188.020060
210.690759	92.329918	2.927592	3.138334	2.330116	114.425313	43.461916	0.474276	1.156249	0.716356	210.971179
181.773868	95.719294	2.948678	2.585930	2.777097	151.082589	78.907533	2.383495	1.136438	0.764101	544.018823
113.354652	76.389190	2.236095	3.023529	2.601512	271.774194	152.165318	2.622623	1.247922	2.773918	498.332605
176.715324	135.161707	2.511335	3.131209	1.802349	127.514896	54.667399	2.563163	0.312555	0.887493	337.254279
178.243978	86.240741	1.275169	2.135020	2.871250	153.740118	88.032366	0.669774	1.442446	2.147393	322.167653
171.931968	68.026896	2.469154	2.146351	1.109758	111.071592	28.776040	1.571406	0.287324	0.505628	121.632890
283.745511	190.021608	2.090658	0.334034	1.719677	145.488105	72.364481	2.533245	2.224145	2.144809	115.693646
195.185209	94.830610	2.449733	1.741214	1.298892	124.912658	85.343407	1.095646	2.651734	1.997099	442.947212
147.034573	63.190215	1.291093	3.097150	2.725605	328.118189	114.414806	2.119694	0.244535	1.335910	231.564175
230.003754	87.478614	0.498518	2.574703	1.907208	57.469626	19.987832	1.538262	1.155298	1.886926	296.927405
234.498192	173.926778	2.878790	2.419117	2.179967	97.799734	24.606709	0.729818	2.655114	2.406947	474.502331
255.228075	110.576887	2.254501	2.724321	1.724713	164.630543	66.676830	1.928704	0.885360	1.043555	126.389483
145.178649	67.735429	2.892933	1.850238	2.599813	115.794325	50.749539	1.009012	2.213596	2.996520	287.025789
647.185900	129.545232	3.112591	1.703401	2.682911	274.551962	40.716799	0.208408	2.390823	2.890350	534.086000
149.881736	98.113121	2.481361	1.218587	0.913071	272.866584	184.801592	2.214843	1.706180	1.651334	32.891910
157.629842	55.770986	2.756937	1.783767	2.211343	173.378520	77.995165	1.813664	2.126491	0.745584	301.594338
258.841091	161.570704	3.120604	0.169205	0.971567	160.833632	34.511519	1.785026	2.442291	2.745888	206.260720
168.912594	74.238082	1.387735	1.662641	1.790034	131.954850	59.071722	2.487074	2.297551	0.617616	95.307037
191.908808	96.819805	0.276312	3.005023	2.643895	148.506623	69.852763	2.950365	2.095757	1.737047	514.314168
140.508952	68.015063	2.004274	2.968018	2.818487	702.935839	200.958829	1.608088	1.242834	2.345653	459.714352
157.013081	135.787427	2.485700	2.518320	2.425182	222.183575	104.707624	1.618387	0.529429	0.503144	153.229573
