m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
178.452937	139.153922	1.136442	2.840781	2.081593	101.799334	46.066838	2.242112	0.106480	1.366179	142.855984
116.145687	74.858398	3.019402	2.704583	2.893202	155.518359	41.610193	0.815339	1.053596	1.547169	125.625849
200.071010	152.089802	0.064968	1.956162	0.993338	232.146025	75.439724	2.308347	0.996330	0.972876	117.567962
134.953630	34.837471	0.491298	3.009677	2.442070	120.020618	52.349083	2.973950	0.382330	2.119388	215.654931
310.661670	223.839026	0.228381	3.091481	2.920093	372.774474	81.069582	1.834936	1.586619	1.922171	139.868046
393.386459	229.765903	1.586275	2.431499	2.728380	205.255989	61.905890	1.093595	2.002669	2.953081	647.405706
348.594145	139.392477	1.123279	2.684463	1.700630	285.822705	119.594416	1.944157	1.733044	1.891839	446.741699
713.406808	459.108684	1.467305	1.703248	0.943628	233.596258	58.569546	3.099265	0.439894	1.726405	256.259274
174.671866	67.101158	1.765806	0.750797	0.770539	179.787210	86.681373	1.872037	2.368863	2.843719	111.103057
254.954707	120.070007	2.894877	2.331070	1.313391	162.312123	52.834258	0.784502	0.594718	2.835355	32.316395
157.889129	76.610073	1.644110	2.844435	2.676012	164.778478	135.814470	2.013485	0.872986	2.226502	105.836204
410.142534	259.691685	2.027815	2.726756	2.870528	170.314450	65.988291	2.825227	1.862717	0.516045	525.679130
148.661397	96.978475	1.731299	2.895338	3.062628	85.522232	17.416151	2.531104	0.590628	0.507868	305.054203
164.320971	21.327551	0.169598	2.601894	3.014840	165.263267	24.771360	3.123372	1.407905	1.353095	370.236066
173.190967	71.806543	2.284406	1.754366	2.204909	185.600746	51.444392	3.076720	1.084654	2.147656	604.702335
982.445687	920.624547	3.044173	2.659735	2.641087	165.452535	66.600759	1.139951	0.266949	1.244977	268.376838
265.140168	163.870531	2.369430	3.078069	2.225311	180.426106	89.394724	1.032775	0.483853	1.240143	325.888521
550.575769	384.639582	1.826727	2.796581	2.780535	173.484248	80.956251	0.942142	0.019614	2.609695	407.760318
191.214435	66.670402	1.494411	2.732896	2.533139	248.014591	42.755225	1.661835	1.141717	0.952084	230.783601
185.583093	84.500456	1.879678	2.340422	3.058220	223.600225	42.294186	0.138606	0.249591	0.624707	225.769898
197.348056	108.793975	1.157988	2.427810	1.911713	97.592994	20.087267	1.608749	2.705179	3.020928	201.916694
131.019848	28.296952	0.656814	1.827374	2.387373	274.358237	42.970969	2.844645	1.023868	1.281045	200.225683
214.485916	192.051066	2.727376	2.626127	2.344783	97.784417	37.755715	2.718079	1.382561	0.316574	159.049524
238.620552	58.217572	2.471896	0.274482	0.623668	108.225572	29.042509	3.043421	2.966451	2.729326	64.483628
173.409857	82.114928	0.326510	2.934428	1.881814	131.286291	86.454590	2.494189	0.781752	1.518010	67.166984
161.020881	80.692849	3.006136	2.561185	1.953649	155.531180	77.444869	0.223366	0.958506	0.041512	311.114293
174.096510	35.404674	0.469400	1.861014	2.491736	257.332462	99.645236	1.244306	2.886862	2.925562	72.850320
168.107066	45.478439	0.362346	2.592585	3.081637	129.916707	42.875290	1.560472	1.310191	2.533877	132.488675
121.089808	71.693983	1.357943	3.133870	2.349948	153.324587	84.267505	0.287638	0.872890	0.424633	120.093706
216.450957	179.784842	2.542398	0.105878	0.711227	127.173650	35.937013	2.495236	2.416199	2.634197	142.403841
418.355580	402.266359	2.911322	2.973880	2.755324	367.122623	308.011159	1.477079	0.703346	0.671550	295.847804
340.270326	281.050569	1.454571	2.938711	2.201490	224.263523	121.216303	1.480196	1.223608	0.617327	252.042954
217.227960	122.645626	3.116315	0.969111	1.027339	154.106009	58.073257	2.503994	2.682834	1.308002	209.471635
147.142747	32.719247	0.597345	2.169312	2.411816	159.118627	58.660064	1.895706	1.730200	0.500152	90.458284
217.633794	100.526034	1.750800	3.042644	1.405125	100.085207	26.751398	0.849617	1.661527	1.340312	137.760245
256.459164	213.051123	3.125031	3.116021	1.658300	87.070503	46.953526	1.090891	0.196078	0.258424	548.009607
193.896342	88.225318	1.420329	2.737264	1.737874	176.141177	45.353784	2.130307	3.114844	2.733856	627.513638
216.980278	157.775326	2.094896	2.213389	2.458657	94.678547	18.668482	0.720082	1.814592	2.486287	153.794482
700.957412	449.942509	1.825147	2.100791	1.945176	147.098160	60.137307	1.415221	1.463433	2.301696	431.272046
167.153202	75.777581	1.487207	2.461425	2.525452	193.667685	145.252297	0.977335	2.218319	1.221555	156.603734
212.353200	32.004690	2.216421	0.587298	0.747853	142.512149	76.886442	2.040760	2.943117	2.995181	132.041565
145.339390	65.841819	2.860585	2.292230	2.093676	218.013618	154.476464	1.096740	2.310047	0.558826	230.677522
199.431155	90.031682	2.876218	1.343778	0.342052	163.337752	87.275600	2.396935	0.514181	1.784082	133.904016
118.879177	27.178055	2.746518	0.314633	1.273363	67.893747	20.037671	2.155004	2.006900	2.662045	106.932852
138.029617	51.269333	1.794626	1.886709	1.574946	199.166306	54.730864	1.589001	1.193137	1.146813	247.570278
304.330138	229.358378	2.700120	1.950973	0.931865	223.885581	132.140065	2.365347	0.542255	1.489782	631.011836
137.724619	70.342305	2.381887	1.836260	2.944439	454.464910	131.009370	2.609296	0.453903	0.941756	239.812199
159.119484	37.069443	0.612125	2.996895	3.030048	141.268238	41.830168	2.486413	1.719007	2.604521	446.717560
393.088950	350.643719	0.229316	0.322461	0.018050	176.469316	84.199640	2.151856	3.059176	1.320015	66.784174
155.413450	80.117921	2.161428	2.676747	2.500860	121.481928	40.872295	2.032877	1.544009	0.376455	351.396570
320.658196	95.657279	1.026765	3.072661	2.958453	319.869437	84.840912	0.208558	1.509355	0.632251	482.202369
296.926557	45.365968	1.864245	1.779160	2.641790	276.757416	193.579376	2.606171	2.070600	0.084976	193.780351
168.480504	71.284659	2.823771	2.176249	2.185531	158.776017	77.664616	0.451471	1.712399	1.070700	194.686017
