m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
182.014395	120.641393	1.524192	1.297530	2.217374	247.452353	43.591978	1.467611	2.665808	2.686689	49631.576434	118.836111
361.593154	176.099420	2.031066	3.083810	2.663317	292.300925	188.607964	0.596836	0.902085	1.445109	5925.107360	181.449016
287.315191	87.011739	2.177542	0.111327	0.771139	183.055933	67.707205	3.025284	1.655166	2.202174	106768.075752	188.385072
473.190254	279.863903	2.012720	0.998361	0.364781	284.949911	33.973390	2.521937	2.964344	2.848413	130857.018145	351.903707
171.629325	79.659676	2.008250	3.074048	2.771322	231.313109	86.793704	2.530483	0.203194	0.236640	33112.670187	279.594023
252.435756	77.305085	1.324996	1.438042	1.068611	422.163814	187.478872	2.712332	2.795625	0.923172	897322.648914	572.892405
500.293741	374.786041	0.117568	2.736890	2.430304	206.209975	121.305800	0.514778	0.410033	1.724307	6417.818911	301.346011
319.696153	150.053454	1.533455	1.746507	1.469232	190.156907	51.798635	2.007388	3.127433	2.545581	222788.715882	385.565438
224.593324	68.657402	0.944382	2.852130	2.439705	465.709985	294.970957	1.666746	1.667404	0.000954	40757.680943	260.299059
473.494111	315.002569	1.903762	2.964326	1.803114	158.881194	71.270354	0.333376	1.489363	1.475334	4921.941276	962.793000
200.306199	61.728201	0.699763	2.153111	2.186408	160.066947	105.104419	2.978132	0.938131	1.835057	20381.482277	163.867613
255.651004	120.340174	2.741059	1.562707	1.871287	450.939261	217.870412	2.979378	0.046928	2.769968	198567.833558	453.836124
252.200096	190.028338	3.066658	2.774274	2.113784	143.455854	122.944630	1.637251	1.787035	0.158233	50899.101344	748.534945
185.376046	113.094697	1.930232	1.338880	0.705766	211.301569	50.695534	2.336935	2.458546	3.122589	689866.389869	584.357199
168.940692	78.842311	1.673300	2.717198	2.596296	246.424638	178.537800	1.205813	0.278622	1.858321	34542.272126	229.619153
