m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
179.343510	69.887002	0.771197	2.840369	2.323149	231.534015	117.079114	1.091184	2.289431	0.889728	33157.568528	274.737301
1258.753689	1096.670759	2.666757	3.046875	1.732833	562.036455	300.286141	0.094619	0.049034	1.001866	1202.658473	472.890128
182.469990	149.829131	1.877226	2.513100	3.118507	414.532486	77.830651	0.029138	2.262167	3.031453	71.111180	320.815382
138.098494	67.558320	3.015440	2.663392	2.883092	205.073428	92.418698	1.438251	0.451614	0.633493	25402.902872	174.516969
805.217686	229.237949	0.977802	3.111839	3.140242	240.462710	67.516316	1.307360	2.992785	0.494011	137237.605119	320.711970
274.938905	171.030642	0.829531	1.156710	2.508306	169.373437	76.847962	2.657992	1.942992	2.584054	35370.916083	176.584917
184.502675	90.199731	0.892906	2.271277	2.147506	320.435369	156.473810	2.541203	0.236553	1.784899	180386.516254	314.696105
629.452627	577.841390	1.783012	3.059595	3.102321	172.965138	49.756173	1.130439	0.092823	0.571832	9221.045307	203.098678
227.028430	93.684599	2.621047	2.713371	2.563593	227.541878	152.383844	1.255626	2.360718	0.844766	30297.637364	270.723471
314.827791	281.968965	2.615952	3.127279	3.099410	478.648307	229.930020	0.441787	0.800825	0.494963	4476.477307	171.273112
380.223049	149.668893	0.336182	2.797636	2.080425	166.470212	100.735197	0.825723	0.587793	1.799145	24459.483210	454.145788
1058.927052	967.461526	1.039139	2.040288	2.679962	172.745479	78.282685	0.072505	0.780555	1.465007	39.559456	106.696016
668.794026	634.078554	2.437771	2.270170	1.892677	173.511980	58.467152	0.930641	2.458899	1.606653	12856.175517	169.172716
581.215920	536.257940	2.467081	2.619710	3.061981	528.317843	157.083684	0.117706	2.643382	1.693974	2098.938145	542.057582
249.122807	89.202163	3.057850	2.081539	1.180628	357.525882	125.246407	0.145320	1.510376	2.704598	431.854279	101.782507
323.845467	74.583551	1.505757	2.185801	1.723102	270.582797	103.543711	1.033583	3.075057	1.691772	18829.403934	336.963429
838.174604	757.951033	2.383908	1.786847	2.473856	129.780105	37.009791	1.793164	1.182017	1.464022	28518.223936	100.685388
