m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missingT
169.781015	86.046928	2.279811	1.694148	2.972160	143.256095	63.291412	1.674682	2.506867	0.000956	26883.670685	202.296829
224.329264	103.953370	0.187538	2.166106	3.140020	119.297864	45.251763	2.151917	3.123671	1.659464	129807.606681	338.684027
160.531054	154.922302	2.641858	2.710177	2.859127	222.033889	61.632335	2.949146	1.642755	0.253523	445202.938349	613.284779
463.980630	407.914458	2.026212	2.297301	2.860035	90.650633	48.716156	1.504651	3.037875	1.017581	45541.815676	415.775556
182.557388	103.878844	2.363232	1.327109	1.056090	196.687353	72.416219	1.937914	3.033211	1.811141	201690.073084	309.285176
382.471521	352.043139	3.136214	0.533268	1.942768	221.003019	110.020220	3.042598	1.116896	2.745548	170543.259536	287.959936
165.891604	64.972969	2.285027	3.043786	2.449881	230.712269	31.400602	1.897614	0.100038	0.068028	93914.625442	254.999665
195.362537	151.227943	3.013405	2.830473	2.239727	251.751056	39.314653	2.946110	1.347841	2.180100	130155.741374	477.372097
206.108321	134.602243	2.973113	2.487691	1.929652	159.883887	70.548234	1.774109	0.523231	1.349926	84838.472407	399.420380
181.674634	70.281241	2.683991	2.728770	1.434567	144.097026	69.070953	1.285188	0.761719	0.417207	41126.578778	507.899965
192.327896	72.608708	2.005693	3.039321	2.462322	342.064346	99.621324	1.430966	0.086277	0.615599	68179.258772	589.401822
296.243611	229.838870	1.867816	2.868294	2.583338	169.753651	153.314394	0.186162	1.143429	0.476007	747.060457	668.418183
123.042388	89.805307	0.008000	2.816859	3.087837	141.950085	47.086436	0.944241	1.333296	2.830070	34450.863441	374.086974
157.425430	77.103562	0.030443	1.924103	2.072714	168.036077	72.726013	2.537349	1.652045	1.555389	205977.699435	370.851837
137.177146	88.417992	2.140703	1.707726	0.396733	173.744221	82.813772	2.530424	1.478916	0.514047	126287.380885	352.803201
255.985968	100.964537	0.554065	2.928763	1.871226	124.545647	48.476498	0.176883	1.891625	2.986894	907.345484	438.839249
114.663801	80.498795	1.302021	0.794988	0.470253	228.183069	128.158628	2.807032	2.249549	2.782877	213698.290016	271.829638
193.170304	103.789952	3.024358	2.069693	0.586476	128.631905	8.786720	1.159311	2.516543	2.439150	7206.881528	163.935842
132.988250	74.597480	0.128689	2.360603	1.798653	157.672238	71.378860	3.138767	1.130033	1.373866	17509.022725	144.666101
142.712174	69.490684	1.246296	2.996647	2.249999	166.175902	36.675986	2.950345	1.479215	0.846134	132419.960358	382.075765
189.134923	48.821976	0.370723	1.680285	1.553237	137.490254	71.746075	2.547470	1.795136	2.895425	104499.674483	195.193440
541.386480	486.357879	3.031189	2.537487	2.222743	490.463280	386.258620	1.670224	0.952956	1.556245	33145.122728	301.906837
271.590199	218.182084	2.994290	2.477227	2.504073	122.706548	70.551810	1.793305	0.389157	0.482634	30124.759426	377.034358
249.837102	120.472788	1.855285	0.281695	1.431310	159.639130	72.108531	2.363582	1.224716	3.106194	129122.341405	164.455679
151.070804	60.288932	1.562653	3.008765	2.150008	192.599837	87.760026	3.034273	1.189471	1.659715	23988.178637	160.730098
213.464799	97.904733	1.477540	2.013021	2.340638	132.660084	19.308992	1.932545	2.057248	2.607385	104375.592401	379.237874
194.800653	156.930440	2.902808	1.421862	0.285524	215.205375	85.321946	2.921823	2.624573	1.411018	33558.268005	98.251145
178.115651	78.109838	0.855543	2.839772	3.104755	96.548206	60.592409	2.412255	2.253653	1.896759	16080.775887	266.076148
463.305548	268.834495	0.682623	2.230466	2.341450	347.093037	60.593776	2.987553	0.450206	1.614652	260127.950142	272.183648
225.013497	123.314999	3.085024	2.242365	0.463786	274.264461	138.233927	2.242888	0.082630	1.044952	89357.790920	325.260971
162.983999	65.808592	1.801689	3.067559	2.640617	139.097267	34.387689	2.056139	2.579519	1.328355	59952.886087	356.842599
186.923940	95.931992	2.397424	0.297907	1.458646	175.420287	87.618513	2.730525	3.067048	2.621478	196147.249569	268.850923
133.921281	65.026986	2.277083	2.443611	3.114009	147.392100	56.279510	2.915958	1.856166	0.360859	159956.440165	381.207834
175.404281	73.659426	2.201245	2.809087	3.132710	338.477289	84.142343	1.204637	0.586561	0.668442	16561.217809	112.371212
166.843453	68.628770	2.098444	2.681867	2.873562	148.680937	45.372916	2.619549	1.144788	1.714581	39705.764948	331.203195
129.921707	39.340240	1.533646	2.478228	2.509356	155.698780	77.794608	0.869474	2.382610	1.316388	7184.144996	86.201730
310.863647	78.971656	0.023846	2.916435	2.427192	96.808610	61.268724	0.611582	1.500002	0.117616	7640.863267	305.046321
597.342579	561.644973	1.297920	1.925478	1.807650	103.826067	24.029936	1.734965	2.350556	2.399551	40886.416347	188.192609
334.884358	218.311361	2.803511	2.964503	2.633035	373.398780	42.227778	0.064840	2.470199	3.131353	796.629200	459.393578
177.826226	78.644547	3.073745	2.023819	1.841228	168.171580	81.093084	1.970281	1.492953	0.318602	44849.581983	272.472716
179.948681	58.299641	3.069839	1.921786	2.104609	158.133756	77.050955	1.057343	1.434631	0.769219	8509.341871	125.247660
193.634770	38.997128	2.480110	2.389426	2.870404	213.419232	74.085524	0.115670	2.422300	1.696610	115.050705	276.024069
800.563262	239.292776	0.130960	0.991014	1.021581	70.739187	17.629134	2.767533	3.038135	2.383830	103623.397731	143.399209
125.387095	69.485986	1.324729	2.374079	3.083858	169.503126	35.053319	2.626594	0.130321	0.789263	61330.730060	290.191893
181.995386	73.365951	2.902109	1.633047	2.418854	124.542062	40.717046	2.447906	2.026677	2.540095	172632.546829	515.936736
193.469103	77.197067	0.820704	0.975652	2.312203	188.005487	48.456898	2.859121	1.930057	2.210816	251200.215734	276.772259
179.657255	86.544080	2.513259	0.847038	0.692692	138.499311	55.262267	2.529627	1.641504	2.827594	65871.962776	190.937993
360.719609	327.343789	2.649639	2.929706	1.685695	143.131600	51.860722	0.651980	0.647634	1.417584	10176.060975	482.495443
180.133381	112.479711	1.806692	2.575950	3.071894	161.650757	67.195124	1.605666	0.848922	1.446524	76711.820068	375.247673
184.718011	78.738942	2.327445	3.003857	2.657670	182.829282	81.302985	0.098380	2.243285	1.531183	264.812118	465.620201
381.390529	298.753772	1.507933	1.713533	2.309432	472.666133	83.781041	2.235235	2.389992	0.895804	271322.825358	366.183965
187.731855	112.474102	2.473389	0.026809	1.343830	82.238502	33.990988	2.554126	2.802376	1.730347	18271.263725	55.171575
178.403281	79.805707	2.943466	0.498719	1.882752	144.549910	60.876994	2.508387	2.504318	0.839243	96769.450585	250.706535
182.105255	85.099115	1.824169	2.819833	2.562619	160.898185	77.310108	0.901506	0.449420	0.577565	15825.197245	185.952563
375.868256	342.035009	1.378634	2.690414	2.388609	143.888697	77.306620	2.317836	0.319451	0.991478	108410.098374	690.124130
240.632718	168.338110	1.094196	2.944613	2.385538	122.442192	69.865130	0.670791	2.328687	0.115986	3054.026098	189.122863
142.281579	69.382599	2.754551	2.503233	2.935970	129.545714	44.162272	2.760815	1.016011	0.506384	87556.915390	459.316378
130.624432	94.468879	2.661206	2.599387	2.753486	180.945178	106.824972	0.849978	2.133195	1.770836	12333.909476	277.042568
245.888005	134.706317	3.068047	2.848789	2.789961	135.732554	28.422360	1.718870	0.677857	1.614487	123629.502535	565.053844
143.774343	65.029599	1.103920	2.570554	3.022897	161.444151	80.941697	0.114907	0.648934	0.822637	133.633370	300.184972
188.058017	67.276892	2.754814	2.234879	0.807534	54.437823	22.254943	3.092268	3.141329	1.615902	36117.752507	259.984888
179.761622	78.002912	2.635780	2.573537	3.014998	139.566089	72.623635	0.925029	3.061667	1.903586	21261.470285	401.437160
168.537303	63.160782	2.478084	3.116712	2.733872	103.922228	35.058297	0.792553	1.216585	2.132522	10314.340417	406.073066
163.839350	80.825026	2.428562	2.668761	2.164496	206.955374	51.619312	1.313460	0.086249	0.024604	129728.160869	432.972091
164.615258	43.175798	2.638900	3.061766	2.907481	64.681496	17.734289	0.476984	0.841405	0.128155	13715.437664	392.081877
107.341971	89.088227	2.896707	1.387630	1.880926	144.013024	64.367006	2.796579	1.957425	2.948322	114215.891552	174.754063
184.115979	62.467802	0.234475	2.419692	2.534342	347.554885	187.799549	2.884057	0.415648	1.537654	117867.083448	185.490869
303.125505	285.104648	1.133746	2.604953	2.515307	154.040985	91.400759	1.563253	1.554661	2.974333	23754.087660	384.016301
263.955135	176.860349	2.528359	2.477672	3.091130	229.030224	121.309293	0.162293	2.170172	1.275472	704.338115	333.209862
145.791807	69.109724	0.767167	2.992078	2.352901	92.250258	62.156858	1.494417	2.824303	2.327263	20060.560723	464.829200
152.696085	58.787026	1.797210	0.362153	0.510061	109.540283	28.876034	2.995349	2.183739	1.884275	44433.989484	139.838906
150.887226	39.069155	2.183842	2.913159	2.834354	96.152560	33.452933	0.685272	1.844057	0.275223	4325.974003	367.843372
161.030444	70.396372	2.909766	2.468038	1.699662	164.775829	72.582519	1.387231	0.244440	2.927753	14271.907873	113.465463
279.853041	214.674384	1.951929	0.716847	0.701510	102.782527	25.799983	2.356477	2.751186	2.348644	144469.748642	280.361738
212.718197	55.765010	2.955193	2.183620	1.428416	73.240500	55.058192	1.755493	1.383112	0.283373	9874.526217	191.420478
166.640180	62.792375	2.756261	2.703033	1.024223	231.648423	47.522976	0.465678	1.529286	1.383614	6230.902273	143.846971
428.944657	369.681324	2.067520	0.359381	1.226217	167.672007	73.102536	2.164310	1.638924	3.068656	88143.393594	143.394432
156.589487	70.473331	2.102523	0.126276	1.217026	108.558721	22.214406	2.646073	1.997282	1.418747	153314.352127	237.732054
142.997624	65.448156	0.550396	0.850981	0.082174	173.667126	83.711905	2.877353	2.800605	1.179802	38755.124783	77.928624
214.788893	75.751980	0.646014	2.539151	2.498445	127.296769	71.823050	2.288919	0.549116	1.103117	5917.333063	77.431015
180.700366	80.977600	2.507016	3.123308	2.773030	176.376011	88.644887	0.003018	0.221598	1.217387	0.266103	179.062763
161.614357	84.793009	2.746317	1.911737	1.359094	239.391043	116.958056	0.324004	1.671375	2.304504	1582.570724	388.433692
97.644207	73.157864	1.165235	2.905369	1.963645	198.313578	64.152646	1.649397	1.137371	0.585419	27909.946098	101.591320
153.631442	70.513857	1.822561	3.018140	2.148903	147.996033	57.543760	2.898563	2.510863	2.504433	65496.290898	394.698576
534.474722	492.059961	2.809580	0.019025	1.057497	201.806784	51.604112	1.682634	2.854974	3.039559	31087.113330	124.439033
275.776815	115.940070	1.540549	3.134706	2.603895	165.914823	78.085866	1.155471	0.027791	0.438009	62807.276359	410.017869
178.810616	116.294350	1.703075	1.178649	1.055464	187.912906	61.267869	2.647926	2.939772	2.569314	830074.900485	687.704699
129.676609	37.764378	1.582824	0.819319	1.301367	168.842903	89.292219	2.490336	2.525081	2.139508	51469.911872	119.732708
154.329828	54.604919	2.572271	2.795282	2.159300	152.559952	76.271489	3.100571	1.349331	0.510146	108670.707847	432.768732
385.133529	328.360919	2.437708	2.312366	1.476781	436.605945	355.438349	1.428434	2.220500	1.581389	74610.657572	384.551666
161.272633	66.589250	2.234537	2.229799	2.902552	124.170749	31.788538	2.026690	0.250768	1.590268	92904.224123	257.277739
228.344525	191.004806	2.933251	2.142427	1.546362	77.410948	67.663436	1.947791	1.389504	2.149280	18102.470370	264.132550
183.379867	67.394725	2.859990	2.640569	1.780757	301.639480	156.873145	2.292880	2.144895	0.920025	45223.900340	262.166827
212.959349	138.195546	3.089965	2.744237	2.350997	309.759833	41.464597	0.052069	1.845472	2.659736	155.190209	177.191154
146.888795	85.268428	1.777392	2.958547	2.468305	141.922239	124.017677	2.148730	2.994882	2.997591	10317.697848	419.137348
214.898255	154.863289	2.136192	0.280942	1.099413	224.182931	146.297060	2.617113	2.817155	2.098871	28938.125144	144.694778
156.351095	57.380244	2.849580	1.427740	2.226549	187.151771	146.133892	2.304210	0.504608	2.297478	39946.208025	239.470840
