m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
285.642385	73.815347	0.431874	2.094163	3.023758	180.960594	85.150135	1.620977	1.771568	2.493933	21374.661639	235.747158
334.500282	254.046794	2.416014	3.048137	1.659558	129.357348	70.817505	0.685830	1.091263	0.253032	7509.128650	553.161302
572.116193	410.562820	2.649309	0.186451	1.272391	175.722354	123.845587	2.452312	2.192771	2.062152	75333.407503	235.631082
409.592802	115.433910	0.607094	2.736976	2.006356	704.235626	121.187773	2.865473	0.201575	3.136860	942848.992962	599.058412
303.938138	191.998682	1.732562	2.263860	2.536797	143.627364	61.684947	1.550331	1.149596	0.779238	73110.582449	375.158827
182.180667	48.495210	2.615124	1.781699	2.217309	125.583813	70.784502	0.479276	2.316218	3.047033	2109.408785	256.326716
234.705528	57.896035	0.678321	2.929449	2.797734	138.274934	70.455575	0.291627	0.584037	1.489092	610.512675	113.889612
227.245532	187.004256	2.380401	2.757153	3.047155	167.022932	57.189234	2.061329	2.238482	2.480637	244636.115785	778.462866
264.976973	113.725980	2.836091	3.021653	2.572222	192.255405	70.912805	2.528301	1.145609	0.216547	102257.599611	419.913553
249.022705	50.504633	1.369772	1.044700	1.548968	163.930323	77.474768	3.007682	2.430385	1.548197	91562.501882	223.217823
158.171350	84.296445	1.326681	2.611980	2.026545	143.967681	46.250756	2.054291	0.711178	1.773219	171306.850714	354.359468
255.054701	148.448527	1.434546	3.028706	2.382297	452.842560	355.972683	3.081403	0.162089	2.533450	154555.039653	476.067832
429.253586	373.463935	2.458700	1.937422	0.877624	95.798762	54.066843	2.403621	1.948768	3.134777	206148.372693	430.891559
136.227067	69.657922	2.417450	3.125240	2.626527	211.733488	59.562695	2.585400	2.189517	2.189460	67778.028728	545.639232
183.698513	89.016547	2.441664	2.326824	2.217249	258.965212	97.243707	2.947371	1.062003	1.337123	111333.166050	445.178699
179.397547	82.848609	1.683639	2.511051	3.036809	439.187632	251.201833	1.076219	1.749642	1.463444	56938.614508	288.699685
321.556824	305.267440	2.241700	1.932760	2.315371	439.301384	66.417682	2.761752	1.129644	1.433521	378589.740097	460.101091
172.888683	80.103079	1.444567	2.159521	1.887579	381.517984	200.695069	1.859389	2.185183	0.309661	165165.193098	451.172085
146.462818	79.329676	2.963483	2.809851	1.983852	209.334288	71.107033	2.196483	0.619602	0.704610	138213.141403	378.949238
176.450913	72.070200	1.604044	2.937205	2.227954	325.785268	25.102287	1.613427	0.754765	1.475310	44610.783800	235.651236
172.702915	40.915200	1.654226	2.374198	2.811009	284.983049	117.222341	2.466935	0.911510	2.942108	179558.845115	343.026421
167.808360	105.382759	2.483240	2.796613	2.468347	304.388042	86.066270	1.376423	1.066892	0.116184	87290.448009	291.294383
436.308048	293.420548	0.111477	3.028406	0.877754	312.620894	39.873517	2.954112	0.505217	0.212875	231647.728153	269.878813
316.156776	98.862006	1.657484	2.281197	1.845804	173.229684	92.929857	2.346186	2.277220	1.046085	76783.465022	307.132431
186.834266	119.260327	0.526935	2.587145	1.661336	183.335273	122.492817	1.107585	1.145610	3.123656	6089.526106	129.620411
302.517873	152.839958	1.269101	1.896565	2.256454	310.392577	247.994476	1.792301	1.463852	0.250756	38895.131704	195.152862
207.278781	143.310755	2.867448	2.892593	1.524173	554.591462	447.680183	1.968675	0.657038	0.129048	92102.947557	333.779359
232.344416	140.058874	2.863735	1.393685	1.656070	186.415870	111.285039	2.040187	2.002794	3.041577	45470.408056	458.136664
283.325331	230.260978	1.766356	2.593582	2.321506	109.944341	71.408025	0.353401	1.117098	2.046267	1788.126856	355.751826
216.129829	82.667454	1.051187	2.917701	2.871774	244.999241	101.785132	2.434797	0.299761	2.810360	444513.096353	641.744435
426.399828	134.079589	2.377874	2.710514	2.152655	301.115280	86.078003	0.694078	0.932995	0.088025	41094.611026	393.442110
287.984421	149.645580	0.206245	1.341233	1.792029	172.617132	81.531760	2.122437	2.050064	1.574764	132110.177103	208.366481
182.928942	93.591244	2.861679	2.019235	1.427376	165.039065	77.387576	2.419000	1.543373	1.608605	58835.734286	368.579526
194.554839	80.407444	1.357823	2.908711	2.655339	171.723676	95.587255	1.896868	1.490335	2.636317	36764.403052	274.161782
182.906509	84.741535	1.841242	2.371086	2.359696	467.203237	317.609626	0.205298	2.670808	1.568460	596.750266	114.862197
405.435041	238.080791	1.725044	2.627292	0.957877	387.589401	327.372366	1.283788	0.300389	0.368719	10232.684518	160.646721
169.380742	81.709363	2.636381	2.792598	1.931006	285.147562	184.146124	2.704419	0.027707	2.570470	180663.518467	527.467774
272.434061	178.711184	2.391881	2.713051	2.692618	575.321641	340.509447	1.734851	0.310968	1.300506	92351.707285	320.671460
