m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
166.357734	76.960018	2.330686	1.973573	2.860222	178.732942	65.207716	2.825383	1.001294	0.665707	22848.912618	194.195891
333.738841	291.189750	1.603082	1.198109	2.085662	389.348354	107.859136	1.971573	1.291889	0.984121	189190.419942	134.354528
155.943685	75.355494	3.004150	2.881579	2.802911	118.364661	79.314030	0.581090	1.606924	1.515974	6002.346263	385.228803
211.492563	94.586224	0.317919	0.769032	0.869211	217.419474	119.156572	2.838205	2.703505	2.197647	245074.838265	250.974912
461.892164	204.818431	0.975295	2.682429	2.926748	343.091082	56.749676	1.119027	0.834859	0.487052	73828.539188	309.786861
331.070979	169.322388	0.993987	0.724808	2.136049	171.629033	115.163827	2.817403	3.132075	1.835983	182066.882893	293.372456
578.188676	286.450197	1.442569	3.039762	1.797445	208.814027	67.955413	0.147737	1.958530	0.277455	1275.133671	426.770739
547.408477	345.947191	2.613972	1.749924	2.788826	909.135917	786.463758	1.407313	0.441752	0.013988	86573.565838	372.768099
167.133655	81.073546	1.218864	2.522870	3.125395	149.941809	64.821014	1.436491	1.745678	0.541312	36310.199361	300.363676
228.796305	111.302938	2.822773	2.577395	1.851980	146.743034	76.908674	0.389455	2.149920	1.273232	4183.077330	521.456336
208.300199	68.334496	1.836456	2.164088	1.893297	291.771044	104.686808	1.726663	1.338871	2.728605	118010.906126	311.849496
174.181556	80.571618	1.535457	2.735349	2.997117	164.669069	90.879899	0.135543	2.615772	2.286867	334.058294	435.272236
595.410319	405.508806	1.397738	2.620848	2.908599	505.453500	141.204400	1.006762	1.651571	1.200466	345215.214242	876.369188
189.336011	144.890790	1.491843	2.782858	2.605607	250.589843	48.766065	1.916513	1.690904	0.966481	91352.394461	376.862268
172.988251	78.535022	2.231651	2.793538	2.714190	285.986715	164.207941	1.467629	0.284677	2.187907	154560.974762	596.610613
353.054230	53.605280	0.805214	1.836652	1.251262	172.446195	79.815364	2.527177	2.232145	2.781936	248076.335018	369.678599
198.429817	77.223637	1.963891	2.914190	2.767107	828.998878	683.235836	1.366143	1.032653	1.916053	69613.398214	511.825430
151.454921	75.888765	1.730352	2.910753	2.880654	142.333763	83.719746	0.015777	1.019313	0.409876	4.011798	176.928356
1085.020685	957.819085	2.873941	2.213361	3.001485	374.107141	177.542666	0.183088	2.323116	0.833716	2076.920150	435.179048
360.698705	295.801619	1.676977	0.821496	0.217314	371.520265	103.740008	2.788458	2.713717	0.447204	383733.313497	181.220818
134.156366	48.080453	2.525867	2.935889	3.027458	206.904263	171.870521	2.171092	0.375232	2.675469	71104.118976	539.639294
209.294851	60.292249	3.027166	1.704264	1.521014	114.106557	85.517793	1.118601	1.662283	0.070201	13210.850642	209.072595
1638.476602	1532.194095	1.777247	0.936807	0.739006	194.789362	88.917180	3.079401	2.653285	1.422390	159273.763817	250.929473
367.526073	345.693715	3.007812	2.981951	1.580655	320.245002	188.368335	0.024212	0.767844	1.018710	84.806155	619.697977
164.984777	75.827819	3.134602	2.823926	2.933300	420.010353	367.195412	1.370168	0.592520	1.678871	36465.117747	565.749401
705.687955	617.729918	2.211923	1.433262	2.962491	148.396360	68.287456	2.042146	0.789130	0.784110	35658.505335	155.400852
247.972775	129.303911	2.929974	1.788575	0.716939	225.540997	198.359672	1.686070	2.292844	0.163436	37465.200594	463.797035
210.275244	74.018317	2.971261	2.501338	2.765670	170.957143	62.459341	1.038174	1.875061	1.185712	92669.870366	1020.410643
149.764426	63.380153	1.105583	1.656789	1.885602	170.398784	137.606019	1.118298	1.963783	1.769299	10243.980378	182.084546
1269.141785	1226.631262	2.478317	2.262301	1.985091	181.986342	81.055979	3.060576	2.260349	1.321229	154234.837765	574.843723
409.540150	191.044419	2.344653	0.512287	0.235166	133.500572	66.929311	0.526697	1.268659	1.642287	2965.211320	261.519551
155.682642	82.926298	1.436400	0.568920	0.129248	979.920362	183.247188	2.957827	1.146736	2.569430	605030.864652	414.106198
174.757847	107.704511	2.643533	1.905516	0.578902	141.978437	54.828003	2.369424	1.544520	2.951215	77657.360328	271.925283
174.624993	54.311078	0.782129	2.869524	2.953293	273.071568	82.483199	2.135681	1.907301	1.683278	184971.881109	496.693654
