m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
329.407457	138.411293	0.035843	3.018568	2.708136	589.115903	389.207440	0.188962	2.916013	0.168200	1838.161784	466.371836
212.860938	59.407646	0.294149	0.389379	1.432257	204.358735	58.101279	3.044006	2.247837	2.848859	538957.424902	291.995534
363.390007	60.823323	2.884629	0.637977	0.076273	264.736551	79.093538	2.626564	2.646295	2.085333	430037.161023	508.393971
329.176318	162.407072	1.471102	2.586242	2.358939	174.658296	79.078395	1.100783	0.507283	0.518918	54595.881603	317.267511
195.687919	158.987428	3.031787	2.636042	2.522057	211.393732	102.852114	1.233529	2.247760	1.760127	110928.210575	665.834381
136.561106	57.616070	1.560357	0.666499	0.448143	158.281125	67.191502	2.656839	2.354087	2.935986	337724.187424	330.819564
199.663249	116.185115	2.461729	1.046714	2.249403	347.713951	158.310740	2.362581	3.030707	1.203471	270465.647528	439.319044
207.532408	70.015955	2.585929	2.958524	2.650631	191.724387	87.917226	3.043001	1.013311	0.346521	160485.138779	575.253713
842.815975	790.267711	1.290676	2.012640	0.598746	169.617460	68.918681	2.925156	2.080721	1.745029	121923.637390	422.054831
199.462689	82.336645	1.920765	2.883741	2.688819	156.756561	58.796422	1.716320	0.927376	2.471217	104592.737315	563.642632
357.348445	173.534905	0.610692	3.046517	2.829429	956.621197	101.835689	2.688535	0.600424	0.651619	1683126.863344	901.065201
161.661760	69.040811	2.173219	2.542972	1.530752	164.874028	78.562532	2.567165	1.733577	0.966847	110151.246786	241.254800
222.647663	35.670899	2.802178	1.567392	2.196840	126.548938	53.473855	0.486022	1.467128	2.845633	6582.638973	436.669037
113.575602	59.222678	0.476102	1.562711	1.329650	221.573334	74.586260	2.617594	1.316198	2.528255	1044143.774447	679.523980
318.560413	173.655037	1.502702	2.393590	1.932902	133.067835	18.651394	3.009407	2.824683	3.032785	161839.950622	336.205549
175.877591	103.989814	2.405363	2.755658	1.799992	242.743864	143.938108	0.380092	1.881183	1.633402	3355.670455	382.285367
508.215685	441.461386	0.429759	2.293014	3.012483	516.075151	281.157719	1.067718	1.000334	2.675317	32457.852822	180.582884
194.218392	54.572107	1.462303	1.935009	2.081287	210.162634	37.516051	2.653652	2.480400	2.613228	169494.068665	401.352429
337.168444	102.323567	1.782296	0.961146	1.391254	147.824972	61.227154	2.782482	2.604853	2.897497	61205.866158	100.820173
253.798388	135.141284	1.929279	3.101988	2.952405	176.258123	66.841832	0.727299	0.251712	0.334224	6070.866874	183.186894
165.240752	66.605584	1.978220	3.090210	2.489878	262.672218	73.795084	2.410088	0.732006	0.163437	51245.525963	255.891669
572.744096	477.850967	1.271271	2.755878	2.078747	154.765481	94.589626	0.216597	0.724657	1.188740	1480.052377	345.428133
196.453227	163.392622	3.122639	3.035879	2.796224	673.159084	624.072819	0.088821	0.841919	1.263376	365.898845	786.018196
247.612759	210.715832	2.722903	2.147292	2.131707	135.780607	32.211206	2.962913	1.076714	1.716456	95598.078766	440.639273
214.356021	83.008099	0.875029	3.132551	2.654247	1796.980708	1735.522538	1.514718	1.653810	0.413403	42591.715184	396.331564
118.690330	61.061987	2.888711	2.607871	2.357886	345.013879	215.461799	0.231803	2.196833	1.603907	933.416630	381.140064
214.939567	79.748637	2.743851	1.326720	1.980693	129.136733	41.821533	3.067087	1.184102	2.062009	95800.813037	232.006005
284.799151	64.331908	2.403064	2.103785	2.291014	258.931057	86.077390	0.035943	1.388063	1.424767	20.629117	211.612449
210.994488	172.956631	3.064853	2.112808	2.255522	111.687660	34.897195	2.443235	0.594548	0.982931	63712.163172	326.162555
259.595257	216.124407	3.137944	2.364317	1.059859	218.103672	142.843730	2.551928	1.610335	2.692202	208944.066191	377.998885
161.364934	63.665908	1.077836	2.691640	2.762838	132.734034	70.365828	1.717179	0.966013	0.055861	44970.150678	260.200894
348.788898	319.621978	2.919745	1.885621	2.631574	370.435112	304.726571	1.703285	1.374738	2.528567	102566.596567	398.374427
171.383690	62.549609	0.362103	2.946803	2.339764	212.410693	95.274329	1.059842	1.633193	2.389479	25217.875448	208.068409
495.562399	408.514499	2.284558	2.048767	2.565658	244.273318	61.175125	1.128839	2.291441	1.033127	31805.138574	221.346998
701.209647	591.560710	0.929893	2.994159	0.182133	925.413570	201.974845	3.007395	0.372623	0.032977	135213.836977	293.336985
157.508421	72.241226	2.589043	2.094790	1.271917	296.122351	174.513639	2.238996	1.755002	0.746532	251183.517074	466.928799
283.920436	257.088141	3.126244	3.047042	1.466087	286.672179	149.570149	0.875966	0.107351	0.272436	81006.564748	782.544998
444.863306	334.716486	0.027194	1.882181	1.602279	104.204041	28.299227	2.855827	2.216979	1.749473	92251.005476	214.213608
